 Date = 2014.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -65.000  230.000   45.89  -70.43   13827    9624    9927  -38885   41270
  -65.000  235.000   44.26  -69.40   14226   10189    9928  -37853   40438
  -65.000  240.000   42.53  -68.36   14594   10755    9865  -36794   39583
  -65.000  245.000   40.68  -67.32   14925   11318    9729  -35715   38708
  -65.000  250.000   38.70  -66.28   15214   11873    9513  -34624   37820
  -65.000  255.000   36.57  -65.25   15456   12413    9208  -33533   36923
  -65.000  260.000   34.28  -64.26   15645   12928    8811  -32453   36027
  -65.000  265.000   31.83  -63.32   15777   13405    8320  -31401   35142
  -65.000  270.000   29.23  -62.46   15850   13832    7740  -30392   34277
  -65.000  275.000   26.50  -61.68   15863   14197    7077  -29440   33442
  -65.000  280.000   23.65  -61.02   15819   14490    6345  -28559   32648
  -65.000  285.000   20.71  -60.48   15719   14704    5559  -27761   31902
  -65.000  290.000   17.72  -60.07   15572   14833    4739  -27051   31212
  -65.000  295.000   14.70  -59.80   15382   14879    3904  -26433   30583
  -65.000  300.000   11.70  -59.67   15161   14846    3073  -25908   30018
  -65.000  305.000    8.73  -59.65   14915   14743    2263  -25470   29516
  -65.000  310.000    5.82  -59.73   14657   14581    1487  -25114   29078
  -65.000  315.000    2.99  -59.90   14395   14375     750  -24831   28702
  -65.000  320.000    0.23  -60.13   14138   14138      57  -24612   28384
  -65.000  325.000   -2.45  -60.39   13897   13884    -595  -24451   28124
  -65.000  330.000   -5.09  -60.67   13678   13625   -1213  -24340   27920
  -65.000  335.000   -7.70  -60.94   13489   13368   -1807  -24277   27773
  -65.000  340.000  -10.32  -61.20   13335   13119   -2388  -24260   27683
  -65.000  345.000  -12.97  -61.45   13218   12881   -2968  -24293   27656
  -65.000  350.000  -15.71  -61.67   13141   12651   -3558  -24380   27696
  -65.000  355.000  -18.54  -61.89   13104   12424   -4167  -24528   27810
  -60.000    0.000  -21.33  -61.34   12272   11431   -4465  -22454   25589
  -60.000    5.000  -24.12  -61.53   12339   11262   -5042  -22750   25881
  -60.000   10.000  -27.07  -61.72   12453   11088   -5668  -23143   26281
  -60.000   15.000  -30.18  -61.94   12605   10897   -6337  -23649   26798
  -60.000   20.000  -33.41  -62.23   12785   10672   -7041  -24281   27441
